epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.441,1.59725,3.80631,1.27529,0.28829,0.27811,0.19513,0.12698,1.12279,2.79133,1.10292,0.000207852,0.000207852,0.000207852
2,438.728,1.44807,2.53532,1.18248,0.33783,0.40769,0.32804,0.21579,1.11263,2.14827,1.08456,0.000388717,0.000388717,0.000388717
3,607.29,1.41185,2.19786,1.15752,0.32213,0.37814,0.32048,0.20784,1.10078,2.06493,1.08792,0.000542082,0.000542082,0.000542082
4,752.477,1.36634,1.9774,1.13601,0.38488,0.54607,0.39484,0.25765,1.07708,1.86072,1.05128,0.00050125,0.00050125,0.00050125
5,894.883,1.33788,1.8247,1.11722,0.38741,0.48766,0.39822,0.27782,0.99527,1.62085,1.00313,0.00046,0.00046,0.00046
6,1026.16,1.30368,1.71115,1.12488,0.45825,0.53827,0.51016,0.35137,0.95457,1.49986,0.99337,0.00041875,0.00041875,0.00041875
7,1196.14,1.26322,1.60064,1.10141,0.52733,0.5617,0.53855,0.39094,0.91546,1.39741,0.97062,0.0003775,0.0003775,0.0003775
8,1337.3,1.23035,1.50988,1.08788,0.58151,0.62605,0.60005,0.43905,0.93588,1.29352,0.9749,0.00033625,0.00033625,0.00033625
9,1507.6,1.21243,1.45971,1.07113,0.53871,0.66694,0.58158,0.42802,0.9029,1.27233,0.95799,0.000295,0.000295,0.000295
10,1680.07,1.17584,1.39246,1.05717,0.63983,0.61154,0.64276,0.48201,0.85789,1.1743,0.94611,0.00025375,0.00025375,0.00025375
11,1840.3,1.16223,1.32911,1.05349,0.6038,0.70847,0.67646,0.50823,0.85178,1.15701,0.93755,0.0002125,0.0002125,0.0002125
12,2011.53,1.13945,1.28972,1.0419,0.6475,0.63773,0.68716,0.50788,0.84128,1.09681,0.92996,0.00017125,0.00017125,0.00017125
13,2186.09,1.11499,1.24134,1.02906,0.68285,0.65167,0.69074,0.51732,0.82406,1.09191,0.92336,0.00013,0.00013,0.00013
14,2362.44,1.09585,1.21116,1.02512,0.66655,0.68515,0.70336,0.53663,0.8124,1.0277,0.91839,8.875e-05,8.875e-05,8.875e-05
15,2536.26,1.08333,1.17319,1.01626,0.64608,0.69614,0.71338,0.55186,0.79876,1.01877,0.91084,4.75e-05,4.75e-05,4.75e-05
